line,total_records,avg_arrival_delay,max_arrival_delay
RE25,1318,5.15,58.0
RE23,131,4.1,51.0
RE5,3094,3.63,65.0
RE85,726,3.6,32.0
27,9590,3.41,133.0
10b,1011,3.19,49.0
RB93,1246,3.06,59.0
50,10460,2.9,95.0
RB17,1370,2.81,44.0
18,7578,2.68,45.0
68,7051,2.63,62.0
67,5681,2.56,62.0
EM24,2013,2.44,66.0
96,1205,2.42,33.0
RB31,4166,2.42,45.0
RE18,2489,2.36,51.0
61,5276,2.32,110.0
76,1522,2.31,34.0
26,22359,2.25,70.0
66,1063,2.24,32.0
54,2694,2.2,48.0
55,4765,2.18,57.0
34,3771,2.15,72.0
RE60,3066,2.04,64.0
32,6898,2.03,62.0
RB82,914,1.99,59.0
RE98,1807,1.99,44.0
S7,6152,1.94,44.0
RE80,110,1.93,12.0
L7,209,1.92,25.0
51,10922,1.91,95.0
53,5497,1.87,49.0
RB91,2868,1.86,60.0
RE16,1461,1.86,36.0
10a,988,1.8,32.0
RE2,4386,1.79,63.0
70,8098,1.75,41.0
6,117133,1.73,69.0
19,18820,1.7,44.0
642S,165,1.7,35.0
RE19,5423,1.67,41.0
RB68,396,1.66,29.0
90,3642,1.64,61.0
RE70,3676,1.64,59.0
7,75341,1.61,90.0
30,13334,1.61,117.0
17,4026,1.57,64.0
14,6590,1.54,55.0
RB58,8535,1.53,78.0
56,2167,1.53,50.0
RB51,839,1.46,41.0
10,9507,1.46,120.0
71,5932,1.44,69.0
11,29301,1.43,90.0
49,3078,1.42,33.0
4,71363,1.39,133.0
60,9341,1.37,50.0
8,98432,1.31,74.0
RE44,828,1.3,34.0
RB41,7867,1.29,39.0
2,170485,1.29,86.0
14b,647,1.29,20.0
16,11886,1.29,73.0
48,7466,1.28,45.0
RB40,2565,1.28,37.0
14a,1460,1.28,20.0
12,18333,1.27,38.0
75,5648,1.26,42.0
RE4,1358,1.25,47.0
33,16178,1.23,51.0
87,7652,1.23,35.0
13,13240,1.23,61.0
80,6224,1.2,35.0
69,2860,1.18,21.0
65,4604,1.18,37.0
9,65775,1.18,63.0
63,3408,1.17,41.0
RE14,2167,1.16,30.0
RE99,1629,1.15,50.0
17c,2702,1.14,24.0
3,166887,1.13,90.0
35,2979,1.11,41.0
79,1410,1.11,30.0
RB35,2446,1.05,23.0
1,326886,1.05,109.0
81,5329,1.05,25.0
20,13786,1.05,159.0
RB60,2305,1.05,45.0
92,585,1.04,28.0
22,8610,1.03,49.0
37,1554,1.02,43.0
RB57,2126,1.0,39.0
23,7857,1.0,42.0
RB54,2647,0.99,53.0
RB56,2284,0.98,39.0
RB10,4168,0.98,56.0
40,6968,0.98,38.0
38,4020,0.98,39.0
RE3,2671,0.98,42.0
RE15,2492,0.97,54.0
89,5751,0.95,31.0
RB75,5164,0.94,41.0
RB55,1512,0.92,34.0
5X,2582,0.91,20.0
RB15,3984,0.9,41.0
RE34,282,0.9,13.0
RE10,2531,0.9,108.0
57,1822,0.9,31.0
29,486,0.88,25.0
RB2,1256,0.88,24.0
S5,2831,0.86,28.0
83,2409,0.86,26.0
17a,6026,0.86,31.0
RS1,2604,0.85,52.0
RS7,1286,0.83,22.0
RB67,3486,0.83,21.0
RE22,1042,0.82,60.0
74,3414,0.82,34.0
RB61,3430,0.8,77.0
31,6182,0.79,62.0
RE59,585,0.78,48.0
62,2563,0.78,140.0
RB5,154,0.77,16.0
86,2760,0.77,53.0
24,4540,0.76,38.0
RB43,1969,0.75,39.0
28,7200,0.75,56.0
21,4510,0.73,43.0
RB97,1147,0.73,27.0
43,2361,0.73,40.0
5,102556,0.72,114.0
RB77,1842,0.71,36.0
RB99,443,0.7,19.0
25,26361,0.7,49.0
RE50,1522,0.7,35.0
15,1664,0.7,29.0
RB86,640,0.68,19.0
44,2090,0.67,29.0
RB34,906,0.67,21.0
RS5,1189,0.65,39.0
64,1664,0.64,23.0
RB90,2070,0.64,81.0
RB81,2550,0.62,24.0
RS71,719,0.61,10.0
RE83,3116,0.61,25.0
RE1,2074,0.61,44.0
59,2924,0.6,58.0
RB24,2560,0.59,43.0
RB46,2499,0.59,23.0
91,1680,0.59,37.0
RS2,2788,0.59,27.0
RB73,616,0.58,25.0
RB26,693,0.58,10.0
42,42424,0.57,110.0
52,953,0.57,28.0
RB23,2105,0.56,25.0
113,708,0.56,19.0
RB1,220,0.55,21.0
S2,1515,0.54,18.0
U28,312,0.54,11.0
S6,8009,0.54,35.0
93,508,0.53,20.0
RB49,2970,0.53,53.0
82,2376,0.51,26.0
RB20,2582,0.51,30.0
RB59,353,0.51,31.0
RB66,1876,0.5,26.0
RB42,1365,0.49,21.0
RE74,951,0.48,21.0
78,944,0.47,15.0
39,1109,0.45,28.0
C13,207,0.43,9.0
73,5947,0.42,28.0
77,1330,0.42,23.0
110,1375,0.42,12.0
RB84,2481,0.41,30.0
88,309,0.4,12.0
72,2026,0.4,25.0
RS51,567,0.4,50.0
97,372,0.39,54.0
RB13,2895,0.38,19.0
RS3,1964,0.36,34.0
RB71,2066,0.36,11.0
RB25,832,0.34,10.0
RE9,267,0.32,61.0
94,364,0.32,12.0
RB74,724,0.3,21.0
RB69,1262,0.3,17.0
RB27,1956,0.29,23.0
RB63,407,0.29,10.0
RE30,1608,0.27,17.0
RB83,549,0.27,8.0
46,21064,0.27,21.0
S4,490,0.27,12.0
RB29,350,0.27,26.0
45,12676,0.26,40.0
RB45,1761,0.25,17.0
RB95,521,0.24,16.0
RS30,814,0.24,12.0
RB65,214,0.24,25.0
RB96,519,0.23,16.0
41,38110,0.22,107.0
S19,264,0.22,17.0
36,1388,0.22,14.0
47,3532,0.22,42.0
RS21,1062,0.21,6.0
S9,859,0.21,22.0
85,12834,0.18,39.0
RB14,314,0.17,4.0
RB43a,107,0.15,2.0
RB47,874,0.14,57.0
C15,301,0.13,4.0
RS4,815,0.13,10.0
RB39,640,0.12,13.0
RB85,295,0.11,8.0
RB28,364,0.1,8.0
RB48,249,0.1,13.0
RB21,1089,0.1,4.0
RB12,668,0.08,10.0
C14,374,0.08,5.0
RE12,396,0.08,20.0
RB98,330,0.08,7.0
17b,215,0.08,11.0
RB22,374,0.05,7.0
RB37,109,0.03,3.0
200,535,0.02,4.0
EV,17615,0.02,25.0
RB33,780,0.01,4.0
S3,854,0.01,9.0
RE24,378,0.01,2.0
95,125,0.0,0.0
RB80,206,0.0,0.0
RB72,465,0.0,0.0
RB64,204,0.0,0.0
RB92,400,0.0,0.0
RB53,138,0.0,0.0
RB52,894,0.0,0.0
RB50,479,0.0,0.0
RE17,803,0.0,0.0
RB4,370,0.0,0.0
RE45,125,0.0,0.0
RE57,719,0.0,0.0
RE72,341,0.0,0.0
RB18,124,0.0,0.0
RE78,112,0.0,0.0
RE82,224,0.0,0.0
RB16,364,0.0,0.0
RE8X,101,0.0,0.0
RB110,306,0.0,0.0
RB11,506,0.0,0.0
EV22A,718,0.0,0.0
RS6,154,0.0,0.0
S1,1958,0.0,0.0
S23,117,0.0,0.0
C11,209,0.0,0.0
A3,242,0.0,0.0
S62,818,0.0,0.0
S64,259,0.0,0.0
A2,150,0.0,0.0
RB76,144,0.0,0.0
